seriesId,matchId,bowlerIds,bowlerLongNames,overNumber,overRuns,overWickets,isComplete,totalBalls,totalRuns,totalWickets,overRunRate,requiredRunRate,requiredRuns,remainingBalls,predictions,balls,events
1442984,1442987,101430,Arshdeep Singh,1,9,0,True,6,9,0,9.0,10.78,205,114,"{'score': 168, 'winProbability': 14.22}","[{'_uid': 46361282, 'id': 46361282, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.01, 'oversActual': 0.1, 'overNumber': 1, 'ballNumber': 1, 'totalRuns': 0, 'batsmanRuns': 0, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 210, 'wagonY': 185, 'wagonZone': 3, 'pitchLine': 'ON_THE_STUMPS', 'pitchLength': 'GOOD_LENGTH', 'shotType': 'DEFENDED', 'shotControl': 1, 'timestamp': '2024-07-27T15:31:00.000Z', 'modified': '2024-07-27T15:31:03.000Z', 'batsmanPlayerId': 93033, 'bowlerPlayerId': 101430, 'outPlayerId': None, 'totalInningRuns': 0, 'totalInningWickets': 0, 'predictions': {'score': 165, 'winProbability': 12.76}, 'batsmanStatText': {'statInfo': '0* (1b)', 'short': 'P Nissanka 0* (1b)', 'long': 'Pathum Nissanka 0* (1b)'}, 'bowlerStatText': {'short': 'Arshdeep Singh 0.1-0-0-0', 'long': 'Arshdeep Singh 0.1-0-0-0'}}, {'_uid': 46361289, 'id': 46361289, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.02, 'oversActual': 0.2, 'overNumber': 1, 'ballNumber': 2, 'totalRuns': 0, 'batsmanRuns': 0, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 146, 'wagonY': 193, 'wagonZone': 6, 'pitchLine': 'OUTSIDE_OFFSTUMP', 'pitchLength': 'FULL', 'shotType': 'COVER_DRIVE', 'shotControl': 1, 'timestamp': '2024-07-27T15:31:56.000Z', 'modified': '2024-07-27T15:31:58.000Z', 'batsmanPlayerId': 93033, 'bowlerPlayerId': 101430, 'outPlayerId': None, 'totalInningRuns': 0, 'totalInningWickets': 0, 'predictions': {'score': 164, 'winProbability': 12.21}, 'batsmanStatText': {'statInfo': '0* (2b)', 'short': 'P Nissanka 0* (2b)', 'long': 'Pathum Nissanka 0* (2b)'}, 'bowlerStatText': {'short': 'Arshdeep Singh 0.2-0-0-0', 'long': 'Arshdeep Singh 0.2-0-0-0'}}, {'_uid': 46361292, 'id': 46361292, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.03, 'oversActual': 0.3, 'overNumber': 1, 'ballNumber': 3, 'totalRuns': 4, 'batsmanRuns': 4, 'isFour': True, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 11, 'wagonY': 242, 'wagonZone': 6, 'pitchLine': 'OUTSIDE_OFFSTUMP', 'pitchLength': 'FULL', 'shotType': 'COVER_DRIVE', 'shotControl': 1, 'timestamp': '2024-07-27T15:32:24.000Z', 'modified': '2024-07-27T15:32:28.000Z', 'batsmanPlayerId': 93033, 'bowlerPlayerId': 101430, 'outPlayerId': None, 'totalInningRuns': 4, 'totalInningWickets': 0, 'predictions': {'score': 166, 'winProbability': 13.3}, 'batsmanStatText': {'statInfo': '4* (3b)', 'short': 'P Nissanka 4* (3b 1x4)', 'long': 'Pathum Nissanka 4* (3b 1x4)'}, 'bowlerStatText': {'short': 'Arshdeep Singh 0.3-0-4-0', 'long': 'Arshdeep Singh 0.3-0-4-0'}}, {'_uid': 46361298, 'id': 46361298, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.04, 'oversActual': 0.4, 'overNumber': 1, 'ballNumber': 4, 'totalRuns': 4, 'batsmanRuns': 4, 'isFour': True, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 76, 'wagonY': 40, 'wagonZone': 8, 'pitchLine': 'OUTSIDE_OFFSTUMP', 'pitchLength': 'GOOD_LENGTH', 'shotType': 'STEERED', 'shotControl': 1, 'timestamp': '2024-07-27T15:33:27.000Z', 'modified': '2024-07-27T15:33:29.000Z', 'batsmanPlayerId': 93033, 'bowlerPlayerId': 101430, 'outPlayerId': None, 'totalInningRuns': 8, 'totalInningWickets': 0, 'predictions': {'score': 169, 'winProbability': 14.71}, 'batsmanStatText': {'statInfo': '8* (4b)', 'short': 'P Nissanka 8* (4b 2x4)', 'long': 'Pathum Nissanka 8* (4b 2x4)'}, 'bowlerStatText': {'short': 'Arshdeep Singh 0.4-0-8-0', 'long': 'Arshdeep Singh 0.4-0-8-0'}}, {'_uid': 46361303, 'id': 46361303, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.05, 'oversActual': 0.5, 'overNumber': 1, 'ballNumber': 5, 'totalRuns': 1, 'batsmanRuns': 1, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 147, 'wagonY': 188, 'wagonZone': 6, 'pitchLine': 'OUTSIDE_OFFSTUMP', 'pitchLength': 'FULL', 'shotType': 'COVER_DRIVE', 'shotControl': 1, 'timestamp': '2024-07-27T15:34:09.000Z', 'modified': '2024-07-27T15:34:12.000Z', 'batsmanPlayerId': 93033, 'bowlerPlayerId': 101430, 'outPlayerId': None, 'totalInningRuns': 9, 'totalInningWickets': 0, 'predictions': {'score': 169, 'winProbability': 14.6}, 'batsmanStatText': {'statInfo': '9* (5b)', 'short': 'P Nissanka 9* (5b 2x4)', 'long': 'Pathum Nissanka 9* (5b 2x4)'}, 'bowlerStatText': {'short': 'Arshdeep Singh 0.5-0-9-0', 'long': 'Arshdeep Singh 0.5-0-9-0'}}, {'_uid': 46361311, 'id': 46361311, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.06, 'oversActual': 0.6, 'overNumber': 1, 'ballNumber': 6, 'totalRuns': 0, 'batsmanRuns': 0, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 0, 'wagonY': 0, 'wagonZone': 0, 'pitchLine': 'OUTSIDE_OFFSTUMP', 'pitchLength': 'FULL', 'shotType': 'COVER_DRIVE', 'shotControl': 2, 'timestamp': '2024-07-27T15:35:35.000Z', 'modified': '2024-07-27T15:35:37.000Z', 'batsmanPlayerId': 70888, 'bowlerPlayerId': 101430, 'outPlayerId': None, 'totalInningRuns': 9, 'totalInningWickets': 0, 'predictions': {'score': 168, 'winProbability': 14.22}, 'batsmanStatText': {'statInfo': '0* (1b)', 'short': 'BKG Mendis 0* (1b)', 'long': 'Kusal Mendis 0* (1b)'}, 'bowlerStatText': {'short': 'Arshdeep Singh 1-0-9-0', 'long': 'Arshdeep Singh 1-0-9-0'}}]",[]
1442984,1442987,87477,Mohammed Siraj,2,4,0,True,12,13,0,6.5,11.16,201,108,"{'score': 163, 'winProbability': 12.22}",[],[]
1442984,1442987,67455,Axar Patel,3,12,0,True,18,25,0,8.33,11.11,189,102,"{'score': 170, 'winProbability': 15.63}",[],[]
1442984,1442987,87477,Mohammed Siraj,4,13,0,True,24,38,0,9.5,11.0,176,96,"{'score': 175, 'winProbability': 17.84}",[],[]
1442984,1442987,104770,Ravi Bishnoi,5,11,0,True,30,49,0,9.8,11.0,165,90,"{'score': 192, 'winProbability': 25.25}",[],[]
1442984,1442987,67455,Axar Patel,6,6,0,True,36,55,0,9.16,11.35,159,84,"{'score': 186, 'winProbability': 20.57}",[],[]
1442984,1442987,104770,Ravi Bishnoi,7,10,0,True,42,65,0,9.28,11.46,149,78,"{'score': 202, 'winProbability': 30.47}",[],"[{'type': 'DRS_REVIEW', 'inningNumber': 2, 'oversUnique': 6.04, 'teamId': 8, 'isSuccessful': True}]"
1442984,1442987,70633,Hardik Pandya,8,12,0,True,48,77,0,9.62,11.41,137,72,"{'score': 192, 'winProbability': 26.28}",[],[]
1442984,1442987,101430,Arshdeep Singh,9,14,1,True,54,91,1,10.11,11.18,123,66,"{'score': 209, 'winProbability': 38.41}",[],[]
1442984,1442987,70633,Hardik Pandya,10,8,0,True,60,99,1,9.9,11.5,115,60,"{'score': 208, 'winProbability': 38.13}",[],[]
