seriesId,matchId,bowlerIds,bowlerLongNames,overNumber,overRuns,overWickets,isComplete,totalBalls,totalRuns,totalWickets,overRunRate,requiredRunRate,requiredRuns,remainingBalls,predictions,balls,events
1410370,1410418,88645,Dan Moriarty,1,2,1,True,6,2,1,2.0,7.57,144,114,,"[{'_uid': 46155271, 'id': 46155271, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.01, 'oversActual': 0.1, 'overNumber': 1, 'ballNumber': 1, 'totalRuns': 0, 'batsmanRuns': 0, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 180, 'wagonY': 204, 'wagonZone': 4, 'pitchLine': None, 'pitchLength': None, 'shotType': 'BACK_DEFENCE', 'shotControl': 1, 'timestamp': None, 'modified': '2024-06-14T19:39:03.000Z', 'batsmanPlayerId': 65368, 'bowlerPlayerId': 88645, 'outPlayerId': None, 'totalInningRuns': 0, 'totalInningWickets': 0, 'predictions': None, 'batsmanStatText': {'statInfo': '0* (1b)', 'short': 'AL Davies 0* (1b)', 'long': 'Alex Davies 0* (1b)'}, 'bowlerStatText': {'short': 'D Moriarty 0.1-0-0-0', 'long': 'Dan Moriarty 0.1-0-0-0'}}, {'_uid': 46155274, 'id': 46155274, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.02, 'oversActual': 0.2, 'overNumber': 1, 'ballNumber': 2, 'totalRuns': 0, 'batsmanRuns': 0, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 180, 'wagonY': 165, 'wagonZone': 2, 'pitchLine': None, 'pitchLength': None, 'shotType': 'SWEEP', 'shotControl': 1, 'timestamp': None, 'modified': '2024-06-14T19:39:25.000Z', 'batsmanPlayerId': 65368, 'bowlerPlayerId': 88645, 'outPlayerId': None, 'totalInningRuns': 0, 'totalInningWickets': 0, 'predictions': None, 'batsmanStatText': {'statInfo': '0* (2b)', 'short': 'AL Davies 0* (2b)', 'long': 'Alex Davies 0* (2b)'}, 'bowlerStatText': {'short': 'D Moriarty 0.2-0-0-0', 'long': 'Dan Moriarty 0.2-0-0-0'}}, {'_uid': 46155276, 'id': 46155276, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.03, 'oversActual': 0.3, 'overNumber': 1, 'ballNumber': 3, 'totalRuns': 1, 'batsmanRuns': 1, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 310, 'wagonY': 155, 'wagonZone': 2, 'pitchLine': None, 'pitchLength': None, 'shotType': 'SWEEP', 'shotControl': 1, 'timestamp': None, 'modified': '2024-06-14T19:40:07.000Z', 'batsmanPlayerId': 65368, 'bowlerPlayerId': 88645, 'outPlayerId': None, 'totalInningRuns': 1, 'totalInningWickets': 0, 'predictions': None, 'batsmanStatText': {'statInfo': '1* (3b)', 'short': 'AL Davies 1* (3b)', 'long': 'Alex Davies 1* (3b)'}, 'bowlerStatText': {'short': 'D Moriarty 0.3-0-1-0', 'long': 'Dan Moriarty 0.3-0-1-0'}}, {'_uid': 46155280, 'id': 46155280, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.04, 'oversActual': 0.4, 'overNumber': 1, 'ballNumber': 4, 'totalRuns': 1, 'batsmanRuns': 1, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 116, 'wagonY': 227, 'wagonZone': 6, 'pitchLine': None, 'pitchLength': None, 'shotType': 'VERTICAL_FORWARD_ATTACK', 'shotControl': 1, 'timestamp': None, 'modified': '2024-06-14T19:40:56.000Z', 'batsmanPlayerId': 97334, 'bowlerPlayerId': 88645, 'outPlayerId': None, 'totalInningRuns': 2, 'totalInningWickets': 0, 'predictions': None, 'batsmanStatText': {'statInfo': '1* (1b)', 'short': 'RM Yates 1* (1b)', 'long': 'Rob Yates 1* (1b)'}, 'bowlerStatText': {'short': 'D Moriarty 0.4-0-2-0', 'long': 'Dan Moriarty 0.4-0-2-0'}}, {'_uid': 46155283, 'id': 46155283, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.05, 'oversActual': 0.5, 'overNumber': 1, 'ballNumber': 5, 'totalRuns': 0, 'batsmanRuns': 0, 'isFour': False, 'isSix': False, 'isWicket': True, 'dismissalType': 1, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 109, 'wagonY': 206, 'wagonZone': 6, 'pitchLine': None, 'pitchLength': None, 'shotType': None, 'shotControl': 1, 'timestamp': None, 'modified': '2024-06-14T19:43:29.000Z', 'batsmanPlayerId': 65368, 'bowlerPlayerId': 88645, 'outPlayerId': 65368, 'totalInningRuns': 2, 'totalInningWickets': 1, 'predictions': None, 'batsmanStatText': {'statInfo': '1 (4b)', 'short': 'AL Davies 1 (4b)', 'long': 'Alex Davies 1 (4b)'}, 'bowlerStatText': {'short': 'D Moriarty 0.5-0-2-1', 'long': 'Dan Moriarty 0.5-0-2-1'}}, {'_uid': 46155290, 'id': 46155290, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.06, 'oversActual': 0.6, 'overNumber': 1, 'ballNumber': 6, 'totalRuns': 0, 'batsmanRuns': 0, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 148, 'wagonY': 199, 'wagonZone': 6, 'pitchLine': None, 'pitchLength': None, 'shotType': 'FORWARD_DEFENCE', 'shotControl': 1, 'timestamp': None, 'modified': '2024-06-14T19:43:29.000Z', 'batsmanPlayerId': 104560, 'bowlerPlayerId': 88645, 'outPlayerId': None, 'totalInningRuns': 2, 'totalInningWickets': 1, 'predictions': None, 'batsmanStatText': {'statInfo': '0* (1b)', 'short': 'DR Mousley 0* (1b)', 'long': 'Dan Mousley 0* (1b)'}, 'bowlerStatText': {'short': 'D Moriarty 1-0-2-1', 'long': 'Dan Moriarty 1-0-2-1'}}]",[]
1410370,1410418,71499,Dom Bess,2,9,0,True,12,11,1,5.5,7.5,135,108,,[],[]
1410370,1410418,52656,Joe Root,3,5,0,True,18,16,1,5.33,7.64,130,102,,[],[]
1410370,1410418,71499,Dom Bess,4,7,1,True,24,23,2,5.75,7.68,123,96,,[],[]
1410370,1410418,88645,Dan Moriarty,5,10,0,True,30,33,2,6.6,7.53,113,90,,[],[]
1410370,1410418,52656,Joe Root,6,9,0,True,36,42,2,7.0,7.42,104,84,,[],[]
1410370,1410418,102861,Jafer Chohan,7,10,0,True,42,52,2,7.42,7.23,94,78,,[],[]
1410370,1410418,71499,Dom Bess,8,5,0,True,48,57,2,7.12,7.41,89,72,,[],[]
1410370,1410418,77267,Jordan Thompson,9,9,1,True,54,66,3,7.33,7.27,80,66,,[],[]
1410370,1410418,52656,Joe Root,10,9,0,True,60,75,3,7.5,7.1,71,60,,[],[]
1410370,1410418,79851,Conor McKerr,11,14,0,True,66,89,3,8.09,6.33,57,54,,[],[]
1410370,1410418,71499,Dom Bess,12,6,0,True,72,95,3,7.91,6.37,51,48,,[],[]
