seriesId,matchId,playerId,playerLongName,playerBattingStyles,playerRoleType,battedType,runs,balls,minutes,fours,sixes,strikerate,isOut,fowOrder,fowWicketNum,fowRuns,fowOvers,fowOverNumber,dismissalType.1,bowlerId,bowlerLongName,bowlingStyles
1410370,1410472,53162,Josh Cobb,rhb,P,yes,24.0,16.0,22.0,4.0,0.0,150.0,True,1.0,2.0,56.0,5.4,6.0,1.0,46597.0,Moeen Ali,ob
1410370,1410472,65995,Adam Hose,rhb,C,yes,8.0,11.0,17.0,0.0,0.0,72.72,True,3.0,4.0,94.0,10.1,11.0,1.0,53296.0,Danny Briggs,sla
1410370,1410472,102713,Ethan Brookes,rhb,P,yes,30.0,19.0,38.0,1.0,1.0,157.89,False,,,,,,12.0,,,
1410370,1410472,61620,Gareth Roderick,rhb,WK,yes,1.0,2.0,3.0,0.0,0.0,50.0,True,4.0,5.0,96.0,10.4,11.0,1.0,53296.0,Danny Briggs,sla
1410370,1410472,89109,Nathan Smith,rhb,P,yes,33.0,16.0,23.0,4.0,1.0,206.25,True,5.0,6.0,148.0,15.2,16.0,1.0,104560.0,Dan Mousley,ob
1410370,1410472,77253,Matthew Waite,rhb,P,yes,36.0,8.0,7.0,1.0,5.0,450.0,False,,,,,,12.0,,,
1410370,1410472,70953,Rob Jones,rhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410472,65499,Tom Taylor,rhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410472,61941,Hayden Walsh,lhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410472,65368,Alex Davies,rhb,C,yes,0.0,1.0,1.0,0.0,0.0,0.0,True,0.0,1.0,1.0,0.1,1.0,2.0,,,
1410370,1410472,97334,Rob Yates,lhb,P,yes,0.0,2.0,10.0,0.0,0.0,0.0,True,1.0,2.0,3.0,1.2,2.0,1.0,65499.0,Tom Taylor,rmf
1410370,1410472,104560,Dan Mousley,lhb,P,yes,68.0,44.0,65.0,4.0,3.0,154.54,True,7.0,8.0,128.0,14.5,15.0,4.0,65499.0,Tom Taylor,rmf
1410370,1410472,67482,Sam Hain,rhb,P,yes,14.0,8.0,8.0,2.0,0.0,175.0,True,2.0,3.0,18.0,2.5,3.0,2.0,77253.0,Matthew Waite,rfm
1410370,1410472,46597,Moeen Ali,lhb,P,yes,16.0,15.0,25.0,1.0,0.0,106.66,True,3.0,4.0,72.0,8.6,9.0,2.0,77253.0,Matthew Waite,rfm
1410370,1410472,102596,Chris Benjamin,rhb,WK,yes,21.0,8.0,12.0,3.0,1.0,262.5,True,4.0,5.0,100.0,10.6,11.0,1.0,102713.0,Ethan Brookes,rmf
1410370,1410472,105968,Jacob Bethell,lhb,P,yes,7.0,8.0,13.0,1.0,0.0,87.5,True,5.0,6.0,126.0,14.1,15.0,1.0,65499.0,Tom Taylor,rmf
1410370,1410472,106472,Zakary Foulkes,rhb,P,yes,1.0,2.0,3.0,0.0,0.0,50.0,True,6.0,7.0,128.0,14.4,15.0,2.0,65499.0,Tom Taylor,rmf
1410370,1410472,71379,George Garton,lhb,P,yes,0.0,2.0,4.0,0.0,0.0,0.0,True,8.0,9.0,132.0,15.1,16.0,2.0,77253.0,Matthew Waite,rfm
1410370,1410472,53296,Danny Briggs,rhb,P,yes,4.0,1.0,4.0,1.0,0.0,400.0,False,,,,,,12.0,,,
1410370,1410472,62682,Jake Lintott,rhb,P,yes,0.0,1.0,2.0,0.0,0.0,0.0,True,9.0,10.0,132.0,15.2,16.0,3.0,77253.0,Matthew Waite,rfm
1410370,1410418,49573,Adam Lyth,lhb,P,yes,3.0,5.0,7.0,0.0,0.0,60.0,True,0.0,1.0,15.0,1.3,2.0,2.0,63314.0,Richard Gleeson,rfm
1410370,1410418,49309,Dawid Malan,lhb,P,yes,38.0,27.0,53.0,3.0,2.0,140.74,True,4.0,5.0,108.0,12.4,13.0,1.0,53296.0,Danny Briggs,sla
1410370,1410418,52656,Joe Root,rhb,P,yes,39.0,27.0,30.0,2.0,3.0,144.44,True,1.0,2.0,77.0,8.3,9.0,1.0,53296.0,Danny Briggs,sla
1410370,1410418,49236,Shan Masood,lhb,C,yes,10.0,6.0,7.0,0.0,1.0,166.66,True,2.0,3.0,89.0,10.1,11.0,1.0,62682.0,Jake Lintott,lws
1410370,1410418,74477,Donovan Ferreira,rhb,WK,yes,13.0,8.0,6.0,1.0,1.0,162.5,True,3.0,4.0,104.0,11.5,12.0,1.0,104560.0,Dan Mousley,ob
1410370,1410418,102629,Matthew Revis,rhb,P,yes,13.0,15.0,14.0,0.0,0.0,86.66,True,6.0,7.0,122.0,15.3,16.0,2.0,62682.0,Jake Lintott,lws
1410370,1410418,77267,Jordan Thompson,lhb,P,yes,2.0,3.0,7.0,0.0,0.0,66.66,True,5.0,6.0,118.0,14.2,15.0,1.0,53296.0,Danny Briggs,sla
1410370,1410418,71499,Dom Bess,rhb,P,yes,8.0,12.0,17.0,1.0,0.0,66.66,True,8.0,9.0,138.0,18.3,19.0,1.0,72719.0,Hasan Ali,rmf
1410370,1410418,102861,Jafer Chohan,rhb,P,yes,0.0,3.0,3.0,0.0,0.0,0.0,True,7.0,8.0,122.0,15.6,16.0,5.0,62682.0,Jake Lintott,lws
1410370,1410418,79851,Conor McKerr,rhb,P,yes,10.0,8.0,19.0,1.0,0.0,125.0,True,9.0,10.0,145.0,19.5,20.0,1.0,63314.0,Richard Gleeson,rfm
1410370,1410418,88645,Dan Moriarty,lhb,P,yes,2.0,6.0,8.0,0.0,0.0,33.33,False,,,,,,12.0,,,
1410370,1410418,65368,Alex Davies,rhb,CWK,yes,1.0,4.0,3.0,0.0,0.0,25.0,True,0.0,1.0,2.0,0.5,1.0,1.0,88645.0,Dan Moriarty,sla
1410370,1410418,97334,Rob Yates,lhb,P,yes,4.0,6.0,12.0,0.0,0.0,66.66,True,1.0,2.0,16.0,3.1,4.0,2.0,71499.0,Dom Bess,ob
1410370,1410418,104560,Dan Mousley,lhb,P,yes,41.0,29.0,30.0,4.0,2.0,141.37,True,2.0,3.0,66.0,8.6,9.0,1.0,77267.0,Jordan Thompson,rmf
